Arquivo gerado automaticamente - Dados do forno - LAFAC USP 
 
 
chave 	 Data e horario completo  	t_0 		s1 	s2 	s3 	s4 	s5 	s6	experimento


3364	2015-09-10 11:13:25.180734	1441894405.17	20.7388	22.1313	18.9901	22.476	19.1102	21.8139	None	
3365	2015-09-10 11:26:02.633155	1441895162.63	198.9338	68.2823	204.0988	106.71	203.3492	90.5038	None	
3366	2015-09-10 11:26:12.609909	1441895172.61	204.8213	66.2003	208.5305	112.366	203.7214	93.6881	None	
3367	2015-09-10 11:26:22.583074	1441895182.58	205.6063	64.8123	212.9622	117.618	205.2102	95.9626	None	
3368	2015-09-10 11:26:32.575753	1441895192.57	207.1763	68.9763	212.9622	110.952	212.6542	91.4136	None	
3369	2015-09-10 11:26:42.552784	1441895202.55	212.6713	67.9353	215.6894	114.79	214.143	100.5116	None	
3370	2015-09-10 11:26:52.529454	1441895212.53	214.2413	66.8943	220.1211	121.254	213.0264	102.3312	None	
3371	2015-09-10 11:27:02.507979	1441895222.5	216.5963	73.4873	218.0757	114.588	219.726	100.0567	None	
3372	2015-09-10 11:27:12.486467	1441895232.48	220.1288	68.6293	225.5755	122.668	220.0982	102.7861	None	
3373	2015-09-10 11:27:22.502380	1441895242.5	218.9513	71.7523	227.9618	119.436	225.309	101.8763	None	
3374	2015-09-10 11:27:32.485854	1441895252.47	222.4838	74.1813	226.9391	116.608	228.6588	103.241	None	
3375	2015-09-10 11:27:42.460867	1441895262.46	225.6238	72.7933	229.6663	118.628	230.5198	110.5194	None	
3376	2015-09-10 11:27:52.438373	1441895272.43	226.4088	70.3643	235.8025	124.284	231.6364	110.9743	None	
3377	2015-09-10 11:28:02.235190	1441895282.23	227.5863	74.8753	236.8252	121.456	236.475	107.79	None	
3378	2015-09-10 11:28:12.647003	1441895292.64	230.7263	77.3043	236.4843	119.234	237.5916	111.4292	None	
3379	2015-09-10 11:28:23.166810	1441895303.16	233.8663	77.6513	238.1888	120.648	236.1028	110.0645	None	
3380	2015-09-10 11:28:33.147898	1441895313.14	235.8288	73.4873	243.9841	129.334	232.3808	112.339	None	
3381	2015-09-10 11:28:44.098303	1441895324.09	238.9688	76.9573	241.2569	124.284	233.8696	114.6135	None	
3382	2015-09-10 11:28:54.080003	1441895334.08	238.5763	76.2633	246.0295	129.738	234.9862	114.1586	None	
3383	2015-09-10 11:29:04.753801	1441895344.75	239.7538	80.0803	246.7113	125.9	238.7082	109.6096	None	
3384	2015-09-10 11:29:25.457162	1441895365.45	247.2113	80.7743	249.0976	125.496	240.9414	110.0645	None	
3385	2015-09-10 11:29:35.438009	1441895375.43	249.1738	78.3453	253.8702	130.142	241.3136	108.2449	None	
3386	2015-09-10 11:29:46.177725	1441895386.17	248.3888	80.7743	252.8475	130.546	242.058	113.2488	None	
3387	2015-09-10 11:30:06.886544	1441895406.88	251.9213	83.2033	251.4839	130.546	244.6634	115.9782	None	
3388	2015-09-10 11:30:16.868611	1441895416.86	252.7063	82.5093	257.2792	136.0	244.6634	115.5233	None	
3389	2015-09-10 11:30:27.626186	1441895427.62	251.1363	80.0803	259.6655	137.212	245.78	112.339	None	
