chave,Data e horario completo,t_0,s1,s2,s3,s4,s5,s6,experimento
3364,2015-09-10 11:13:25.180734,1441894405.174756,20.7388,22.1313,18.990099999999998,22.476,19.110199999999995,21.813900000000004,
3365,2015-09-10 11:26:02.633155,1441895162.62945,198.93380000000002,68.28229999999999,204.09879999999998,106.71000000000001,203.34919999999997,90.5038,
3366,2015-09-10 11:26:12.609909,1441895172.606197,204.8213,66.2003,208.5305,112.366,203.7214,93.6881,
3367,2015-09-10 11:26:22.583074,1441895182.578902,205.60630000000003,64.8123,212.9622,117.618,205.2102,95.9626,
3368,2015-09-10 11:26:32.575753,1441895192.567161,207.17630000000003,68.9763,212.9622,110.952,212.65419999999997,91.4136,
3369,2015-09-10 11:26:42.552784,1441895202.548573,212.67130000000003,67.9353,215.68939999999998,114.79,214.14299999999997,100.5116,
3370,2015-09-10 11:26:52.529454,1441895212.525448,214.24130000000002,66.8943,220.12109999999998,121.254,213.02639999999997,102.3312,
3371,2015-09-10 11:27:02.507979,1441895222.503763,216.59629999999999,73.48729999999999,218.07569999999998,114.58800000000001,219.72599999999997,100.0567,
3372,2015-09-10 11:27:12.486467,1441895232.481873,220.1288,68.6293,225.57549999999998,122.668,220.0982,102.7861,
3373,2015-09-10 11:27:22.502380,1441895242.498302,218.9513,71.75229999999999,227.96179999999998,119.436,225.30899999999997,101.8763,
3374,2015-09-10 11:27:32.485854,1441895252.473564,222.48380000000003,74.1813,226.9391,116.608,228.65879999999999,103.241,
3375,2015-09-10 11:27:42.460867,1441895262.45701,225.62380000000002,72.7933,229.66629999999998,118.628,230.51979999999998,110.5194,
3376,2015-09-10 11:27:52.438373,1441895272.433733,226.40879999999999,70.3643,235.80249999999998,124.284,231.63639999999998,110.9743,
3377,2015-09-10 11:28:02.235190,1441895282.231069,227.5863,74.8753,236.8252,121.456,236.47499999999997,107.79,
3378,2015-09-10 11:28:12.647003,1441895292.642426,230.72629999999998,77.3043,236.4843,119.23400000000001,237.59159999999997,111.42920000000001,
3379,2015-09-10 11:28:23.166810,1441895303.162923,233.86630000000002,77.65129999999999,238.1888,120.648,236.10279999999997,110.0645,
3380,2015-09-10 11:28:33.147898,1441895313.143869,235.8288,73.48729999999999,243.98409999999998,129.334,232.38079999999997,112.339,
3381,2015-09-10 11:28:44.098303,1441895324.094235,238.9688,76.95729999999999,241.25689999999997,124.284,233.8696,114.6135,
3382,2015-09-10 11:28:54.080003,1441895334.075936,238.5763,76.2633,246.02949999999998,129.738,234.98619999999997,114.1586,
3383,2015-09-10 11:29:04.753801,1441895344.74931,239.7538,80.0803,246.7113,125.9,238.70819999999998,109.6096,
3384,2015-09-10 11:29:25.457162,1441895365.452702,247.2113,80.7743,249.09759999999997,125.49600000000001,240.9414,110.0645,
3385,2015-09-10 11:29:35.438009,1441895375.433343,249.17379999999997,78.3453,253.87019999999998,130.142,241.31359999999998,108.2449,
3386,2015-09-10 11:29:46.177725,1441895386.173245,248.3888,80.7743,252.8475,130.54600000000002,242.058,113.2488,
3387,2015-09-10 11:30:06.886544,1441895406.881806,251.92129999999997,83.2033,251.48389999999998,130.54600000000002,244.66339999999997,115.9782,
3388,2015-09-10 11:30:16.868611,1441895416.864606,252.7063,82.5093,257.2792,136.0,244.66339999999997,115.5233,
